,AREA,INT_SQFT,DATE_SALE,DIST_MAINROAD,N_BEDROOM,N_BATHROOM,N_ROOM,SALE_COND,PARK_FACIL,DATE_BUILD,BUILDTYPE,UTILITY_AVAIL,STREET,MZZONE,REG_FEE,COMMIS,SALES_PRICE,Year Sale,Year Build,SALES_PRICE_LAKHS
14,Velachery,1865,2010-11-11,157,3,2,5,Family,No,1956-11-24,Commercial,No Sewage,Paved,RM,619987,294494,15499680,2010,1956,15.5
15,Velachery,1868,2009-12-09,148,3,2,5,Family,No,2000-09-14,Commercial,No Sewage,Gravel,RH,597135,188569,15714080,2009,2000,15.71
16,Karapakkam,1639,2009-04-11,175,2,2,4,Normal Sale,Yes,1991-09-11,House,ELO,Gravel,I,285648,77904,8656000,2009,1991,8.66
17,Chrompet,796,2011-12-25,134,1,1,2,Adj Land,Yes,1975-03-01,Commercial,All Pub,No Access,RL,316464,130951,10912550,2011,1975,10.91
18,Adyar,1136,2008-05-04,69,1,1,3,Normal Sale,Yes,1978-04-13,Others,All Pub,Paved,A,323214,49725,8287550,2008,1978,8.29
19,Anna Nagar,1902,2012-02-07,168,2,1,5,Family,Yes,1970-07-13,Commercial,ELO,Paved,RL,742113,212032,21203240,2012,1970,21.2
20,Chrompet,1069,2013-04-19,53,1,1,3,Abnormal,Yes,2009-04-20,Others,No Sewage,Paved,RM,283544,43622,10905530,2013,2009,10.91
21,Chrompet,931,2008-12-13,96,1,1,3,Abnormal,Yes,1986-12-19,Others,ELO,Paved,RL,248021,27558,9185970,2008,1986,9.19
22,KK Nagar,2010,2009-06-05,114,3,2,5,partial,No,1999-09-05,Others,No Sewage,Gravel,RH,327762,262210,10925400,2009,1999,10.93
23,Chrompet,1074,2010-07-23,100,1,1,3,Abnormal,No,1994-07-27,Others,No Sewage,Gravel,RL,288821,86646,9627380,2010,1994,9.63
24,T Nagar,1972,2013-05-13,111,2,1,5,Adj Land,No,2008-05-14,Others,No Sewage,No Access,RH,487297,167073,13922760,2013,2008,13.92
25,T Nagar,1685,2014-07-19,105,1,1,4,Family,No,1980-07-27,House,No Sewage,Gravel,RM,352830,176415,12601080,2014,1980,12.6
26,Adyar,1130,2011-10-11,29,1,1,3,Family,Yes,1981-11-17,Commercial,ELO,Paved,RH,468417,53533,13383350,2011,1981,13.38
27,Karapakkam,1301,2010-12-11,59,1,1,3,Normal Sale,Yes,2003-11-14,Others,No Sewage,Gravel,C,357283,71457,7939625,2010,2003,7.94
28,Adyar,730,2011-08-19,185,1,1,2,Adj Land,Yes,1972-08-28,House,ELO,Gravel,RL,265449,53090,8848285,2011,1972,8.85
29,T Nagar,1806,2013-08-18,138,2,1,5,Family,No,1978-08-27,House,No Sewage,Paved,RH,430852,113382,11338200,2013,1978,11.34
30,Anna Nagar,1981,2009-01-04,173,2,1,5,Adj Land,No,2000-03-04,House,ELO,No Access,RL,373300,218831,12872430,2009,2000,12.87
31,Adyar,868,2011-08-15,15,1,1,3,Normal Sale,No,2001-08-17,Others,No Sewage,Gravel,RL,325514,72336,9042050,2011,2001,9.04
32,T Nagar,1721,2012-03-26,117,1,1,4,Adj Land,Yes,1992-03-31,Others,ELO,Paved,RM,416483,223116,14874380,2012,1992,14.87
33,Velachery,1755,2006-04-28,16,2,1,4,Adj Land,Yes,1987-03-05,Others,All Pub,Gravel,A,306671,173780,10222380,2006,1987,10.22
34,Anna Nagar,1709,2009-11-22,130,1,1,4,Family,No,2003-11-24,Others,No Sewage,Gravel,RH,452501,90500,12928590,2009,2003,12.93
35,KK Nagar,2114,2010-09-05,46,3,2,5,Adj Land,Yes,1989-05-14,Commercial,No Sewage,Gravel,RH,632334,281037,17564820,2010,1989,17.56
36,Karapakkam,1226,2010-05-23,180,1,1,3,Normal Sale,No,1983-05-30,House,All Pub,Paved,A,154109,114339,4971250,2010,1983,4.97
37,Velachery,1648,2011-01-28,111,2,1,4,Family,Yes,1998-01-31,Others,No Sewage,Paved,C,275120,82536,9170660,2011,1998,9.17
38,Chrompet,856,2011-07-11,36,1,1,3,Adj Land,Yes,1985-11-13,Others,No Sewage,Gravel,RM,332269,103834,10383420,2011,1985,10.38
39,Adyar,904,2009-01-24,52,1,1,3,Adj Land,No,1969-03-02,Commercial,ELO,No Access,RM,348042,23203,11601400,2009,1969,11.6
40,Chrompet,1198,2012-12-21,105,1,1,3,Normal Sale,No,1976-12-30,Others,All Pub,No Access,RH,255727,98991,8249260,2012,1976,8.25
41,Karapakkam,931,2011-03-10,16,1,1,3,Adj Land,No,1993-07-10,Commercial,All Pub,Paved,A,291669,166668,6944500,2011,1993,6.94
42,Karapakkam,1290,2009-08-18,86,1,1,3,Adj Land,Yes,1961-08-30,House,All Pub,Paved,RH,364015,92940,7745000,2009,1961,7.74
43,Karapakkam,507,2010-03-23,49,1,1,2,Abnormal,Yes,1964-03-04,House,ELO,Gravel,RH,252032,74464,5728000,2010,1964,5.73
44,KK Nagar,2492,2009-06-12,113,4,2,6,Abnormal,No,1993-10-12,Commercial,No Sewage,Paved,RL,917550,224706,18725520,2009,1993,18.73
45,Karapakkam,851,2011-11-09,105,1,1,2,partial,No,1982-09-18,House,All Pub,No Access,C,167896,39295,3572250,2011,1982,3.57
46,T Nagar,1882,2006-11-18,189,2,1,5,Abnormal,Yes,1985-11-23,Others,ELO,Gravel,RM,433393,272877,16051580,2006,1985,16.05
47,Anna Nagar,1710,2009-12-11,15,1,1,4,Normal Sale,Yes,1998-11-15,Commercial,All Pub,Gravel,RH,808639,161728,20215970,2009,1998,20.22
48,Karapakkam,1412,2010-06-11,28,2,2,4,Adj Land,No,1982-11-13,House,ELO,Gravel,RL,251370,192717,8379000,2010,1982,8.38
49,Adyar,779,2006-12-10,51,1,1,2,Normal Sale,No,1997-10-14,House,No Sewage,No Access,C,190463,31744,5290635,2006,1997,5.29
50,T Nagar,1655,2014-05-21,19,1,1,4,Abnormal,No,1980-05-29,Others,All Pub,Gravel,RH,376468,238430,12548930,2014,1980,12.55
51,Karapakkam,940,2010-03-04,167,1,1,3,Adj Land,No,1961-04-15,House,All Pub,Paved,RH,263599,64435,5857750,2010,1961,5.86
52,KK Nagar,1667,2012-02-26,126,2,1,4,partial,Yes,2007-02-27,House,No Sewage,Paved,RM,364810,268243,10729700,2012,2007,10.73
53,KK Nagar,1926,2008-12-08,49,3,2,5,Family,Yes,1999-08-15,Commercial,No Sewage,Paved,RM,816325,153061,17006780,2008,1999,17.01
54,Adyar,718,2007-10-23,75,1,1,2,partial,Yes,1977-10-30,Others,ELO,No Access,C,211662,55701,5570050,2007,1977,5.57
55,Karapakkam,545,2012-12-01,154,1,1,2,partial,No,1982-01-19,Others,ELO,No Access,RH,165738,88651,3854375,2012,1982,3.85
56,Karapakkam,1249,2009-12-09,25,1,1,3,Adj Land,Yes,1973-09-21,Others,ELO,Gravel,RH,318010,120328,8594875,2009,1973,8.59
57,T Nagar,1894,2013-08-06,187,2,1,5,partial,Yes,1968-06-19,House,No Sewage,Gravel,RL,406478,162591,13549250,2013,1968,13.55
58,Karapakkam,1469,2011-12-12,200,2,2,4,Abnormal,No,2006-12-13,Commercial,No Sewage,No Access,C,284423,132731,9480750,2011,2006,9.48
59,Adyar,916,2008-08-08,32,1,1,3,Normal Sale,Yes,1980-08-15,House,ELO,No Access,A,228053,23390,5847520,2008,1980,5.85
60,Chrompet,934,2008-04-20,11,1,1,3,Adj Land,Yes,1986-04-26,House,No Sewage,Paved,RM,310749,58265,9710900,2008,1986,9.71
61,Karapakkam,1691,2011-02-05,100,2,2,4,Abnormal,No,1980-09-05,House,No Sewage,Gravel,RM,319558,178576,9398750,2011,1980,9.4
62,Karapakkam,1236,2011-04-21,36,1,1,3,Normal Sale,No,1972-04-30,Commercial,No Sewage,Paved,I,334638,114481,8806250,2011,1972,8.81
63,T Nagar,1577,2007-09-28,23,1,1,4,partial,Yes,1971-07-10,Others,No Sewage,Paved,RH,302183,193397,12087330,2007,1971,12.09
64,Anna Nagar,1915,2011-10-01,13,2,1,5,partial,Yes,1970-01-20,Others,No Sewage,Gravel,RH,354391,170107,14175620,2011,1970,14.18
65,Anna Nagar,1600,2012-09-30,154,1,1,4,Family,Yes,1991-06-10,House,ELO,Gravel,RH,309941,166891,11920820,2012,1991,11.92
66,Velachery,1579,2011-10-14,58,2,1,4,Abnormal,Yes,1987-10-20,Commercial,ELO,Paved,I,467766,240565,13364730,2011,1987,13.36
67,Adyar,1260,2008-07-21,89,2,2,4,partial,No,1983-07-28,Others,No Sewage,No Access,A,256150,34615,6922975,2008,1983,6.92
68,Adyar,1021,2009-12-22,176,1,1,3,Normal Sale,No,2004-12-23,Commercial,No Sewage,Paved,I,361868,175098,11673175,2009,2004,11.67
69,KK Nagar,2174,2011-10-31,48,3,2,5,Family,Yes,1988-05-11,Others,All Pub,Paved,RM,548929,313674,13069740,2011,1988,13.07
70,Anna Nagar,1589,2010-03-22,39,1,1,4,partial,No,1966-02-04,Others,All Pub,Gravel,RL,451857,85486,12212350,2010,1966,12.21
71,Adyar,668,2010-03-21,177,1,1,2,Abnormal,Yes,2005-03-22,Commercial,No Sewage,Gravel,I,329074,102836,10283575,2010,2005,10.28
72,Velachery,1724,2006-09-04,116,2,1,4,Abnormal,Yes,1952-04-22,House,ELO,No Access,RL,358259,152260,8956480,2006,1952,8.96
73,Adyar,890,2011-07-20,116,1,1,3,Abnormal,Yes,1981-07-27,House,No Sewage,Paved,C,251557,43124,7187350,2011,1981,7.19
74,Adyar,1218,2007-06-13,51,2,2,4,Normal Sale,No,1977-06-20,Commercial,All Pub,No Access,I,377246,138323,12574850,2007,1977,12.57
75,Anna Nagar,1792,2011-02-21,41,1,1,4,Family,Yes,1990-02-26,House,ELO,Gravel,RM,514532,250313,13906270,2011,1990,13.91
76,Karapakkam,1378,2012-02-19,192,2,2,4,Adj Land,No,2003-02-21,Others,No Sewage,Gravel,RM,297525,208268,9917500,2012,2003,9.92
77,Karapakkam,898,2009-07-22,72,1,1,3,partial,Yes,1980-07-29,Commercial,No Sewage,Paved,RH,345190,215744,8629750,2009,1980,8.63
78,Anna Nagar,1928,2011-08-18,148,2,1,5,partial,No,2001-08-20,House,All Pub,No Access,RH,466682,105003,11667050,2011,2001,11.67
79,Chrompet,1233,2008-02-08,24,2,1,4,Abnormal,No,1975-11-08,House,No Sewage,Gravel,RM,245429,107989,9817150,2008,1975,9.82
80,Velachery,1618,2007-07-30,100,2,1,4,Adj Land,Yes,1967-09-08,Others,No Sewage,Paved,C,370522,92631,9263050,2007,1967,9.26
81,Karapakkam,627,2011-12-08,49,1,1,2,Family,No,1983-08-19,House,No Sewage,Gravel,RM,223975,92225,6587500,2011,1983,6.59
82,Velachery,1563,2005-08-16,43,2,1,4,Family,No,1977-08-23,House,No Sewage,Gravel,RM,303780,195987,9799360,2005,1977,9.8
83,Karapakkam,1693,2009-07-30,187,2,2,4,Normal Sale,Yes,2003-01-08,Commercial,No Sewage,Gravel,C,384045,166420,12801500,2009,2003,12.8
84,T Nagar,1522,2009-03-30,85,1,1,4,partial,No,1966-10-04,Commercial,All Pub,Gravel,RL,506181,174545,17454510,2009,1966,17.45
85,Adyar,1090,2008-07-21,171,1,1,3,partial,Yes,1980-07-28,Others,No Sewage,Gravel,RH,373632,98324,9832420,2008,1980,9.83
86,Chrompet,1085,2014-01-19,149,1,1,3,Abnormal,Yes,2008-01-21,Commercial,No Sewage,Gravel,RL,387815,100545,14363500,2014,2008,14.36
87,T Nagar,1687,2009-08-13,73,1,1,4,Abnormal,No,1996-08-16,Others,No Sewage,Paved,RH,411733,224582,12476770,2009,1996,12.48
88,Adyar,692,2008-12-09,62,1,1,2,Normal Sale,Yes,1971-09-22,Commercial,All Pub,Paved,RH,394491,124576,10381355,2008,1971,10.38
89,T Nagar,1518,2008-03-07,145,1,1,4,Family,Yes,1971-07-13,Commercial,All Pub,Paved,RH,457606,158402,17600240,2008,1971,17.6
90,Adyar,1025,2008-10-05,125,1,1,3,partial,No,1983-05-17,Commercial,No Sewage,Paved,I,349916,142153,10934875,2008,1983,10.93
91,KK Nagar,2170,2010-07-20,121,3,2,5,Family,Yes,2002-07-22,House,No Sewage,Gravel,RL,593864,284560,12372160,2010,2002,12.37
92,Chrompet,969,2011-05-23,70,1,1,3,Family,Yes,1994-05-27,Commercial,ELO,No Access,RH,337463,146234,11248750,2011,1994,11.25
93,KK Nagar,1546,2008-09-04,129,2,1,4,Abnormal,No,1981-04-16,Commercial,All Pub,Gravel,RM,441475,142411,14241140,2008,1981,14.24
94,KK Nagar,1709,2009-10-24,6,2,1,4,Abnormal,Yes,1989-10-29,House,No Sewage,Paved,RL,467388,233694,10160600,2009,1989,10.16
95,T Nagar,1659,2013-07-04,103,1,1,4,Adj Land,Yes,1995-12-04,Others,No Sewage,No Access,RL,433251,216625,13539080,2013,1995,13.54
96,Chrompet,755,2015-09-01,8,1,1,2,Normal Sale,No,1982-01-17,Commercial,ELO,Gravel,RM,289649,42911,10727750,2015,1982,10.73
97,Adyar,1182,2007-10-24,50,1,1,3,Normal Sale,Yes,1990-10-28,House,All Pub,No Access,RL,374948,39468,9867055,2007,1990,9.87
98,Adyar,735,2012-06-03,67,1,1,2,Adj Land,No,1998-10-03,Commercial,No Sewage,No Access,RH,284361,132702,9478710,2012,1998,9.48
99,Chrompet,1089,2013-04-19,0,1,1,3,Normal Sale,Yes,1981-04-27,House,ELO,Paved,RL,235305,45251,9050200,2013,1981,9.05
100,Velachery,1534,2005-04-01,6,2,1,4,partial,Yes,1952-01-18,Others,ELO,Paved,C,284552,63234,7904210,2005,1952,7.9
101,Anna Nagar,1622,2007-07-26,147,1,1,4,Family,Yes,2002-07-27,House,ELO,Gravel,RL,378840,209015,13063450,2007,2002,13.06
102,KK Nagar,2198,2008-04-09,71,3,2,5,partial,Yes,1987-10-09,Others,No Sewage,Gravel,RM,679249,122265,13584980,2008,1987,13.58
103,Chrompet,1293,2014-09-05,34,2,1,4,Normal Sale,No,1975-05-19,Commercial,ELO,No Access,RL,419714,157393,13116050,2014,1975,13.12
104,KK Nagar,1641,2009-10-17,178,2,1,4,partial,No,1980-10-24,Others,All Pub,Gravel,RL,460580,190239,10012600,2009,1980,10.01
105,Velachery,1950,2005-03-09,185,3,2,5,Adj Land,Yes,1964-09-13,Others,No Sewage,Paved,RL,411601,84741,12105920,2005,1964,12.11
106,Karapakkam,1245,2011-08-26,106,1,1,3,partial,No,1983-02-09,Others,No Sewage,Paved,A,201653,113123,4918375,2011,1983,4.92
107,Chrompet,905,2009-12-09,144,1,1,3,Family,No,1976-09-20,Others,ELO,Gravel,RH,223393,77032,7703200,2009,1976,7.7
108,KK Nagar,1496,2012-02-24,135,2,1,4,Family,No,1998-02-27,House,No Sewage,Gravel,RH,265641,137105,8569080,2012,1998,8.57
109,Velachery,1892,2005-11-22,38,3,2,5,Adj Land,Yes,1969-01-12,House,ELO,Gravel,RM,449425,133613,12146620,2005,1969,12.15
110,Velachery,1517,2010-05-07,40,2,1,4,Family,No,1999-08-07,Commercial,ELO,Paved,C,408507,116716,11671620,2010,1999,11.67
111,Adyar,1034,2009-05-30,73,1,1,3,Adj Land,Yes,1993-03-06,Others,ELO,Gravel,C,277702,46284,9256740,2009,1993,9.26
112,Velachery,1755,2009-06-06,142,2,1,4,Family,Yes,1974-06-15,Commercial,No Sewage,Gravel,I,581720,193907,14915900,2009,1974,14.92
113,Anna Nagar,1622,2013-04-20,79,1,1,4,Adj Land,Yes,2006-04-22,House,No Sewage,Paved,RM,406434,243860,13547790,2013,2006,13.55
114,Chrompet,1092,2013-05-13,89,1,1,3,Normal Sale,No,2009-05-14,Others,All Pub,No Access,RH,246391,57491,8213040,2013,2009,8.21
115,Chrompet,821,2014-02-01,34,1,1,3,Adj Land,No,2006-04-01,House,No Sewage,Paved,RH,182600,65736,7304000,2014,2006,7.3
116,KK Nagar,1694,2008-07-07,72,2,1,4,Family,No,1997-10-07,Others,No Sewage,Gravel,RL,353291,114300,10390900,2008,1997,10.39
117,Anna Nagar,1809,2010-03-22,177,2,1,5,Family,No,1984-03-28,Commercial,All Pub,No Access,RL,518585,230482,19206870,2010,1984,19.21
118,Karapakkam,1401,2011-05-11,20,2,2,4,partial,Yes,1997-08-11,Others,All Pub,Gravel,RL,438477,229204,9965375,2011,1997,9.97
119,Karapakkam,1470,2011-02-26,99,2,2,4,Abnormal,No,1986-04-03,Others,No Sewage,No Access,RH,302694,172968,7207000,2011,1986,7.21
120,Chrompet,798,2013-04-15,166,1,1,2,partial,No,1976-04-24,Commercial,No Sewage,Paved,RH,253975,145129,9070550,2013,1976,9.07
121,Chrompet,764,2008-02-21,137,1,1,2,partial,No,2000-02-23,House,ELO,No Access,RH,158766,90723,5670200,2008,2000,5.67
122,Chrompet,1135,2008-09-25,50,1,1,3,Abnormal,No,1985-01-10,Others,No Sewage,No Access,RM,296102,148051,9253200,2008,1985,9.25
123,Karapakkam,939,2009-07-23,74,1,1,3,Abnormal,No,1971-02-08,House,ELO,No Access,I,214700,38646,4294000,2009,1971,4.29
124,Karapakkam,1586,2009-08-27,59,2,2,4,Normal Sale,Yes,1981-03-09,Commercial,No Sewage,Gravel,RM,586956,200424,14316000,2009,1981,14.32
125,T Nagar,1973,2007-01-29,63,2,1,5,Family,Yes,1972-07-02,Commercial,All Pub,Gravel,RM,885666,116535,23307000,2007,1972,23.31
126,Chrompet,1023,2007-11-05,44,1,1,3,partial,Yes,1990-05-15,House,All Pub,Paved,RM,282319,38941,9735150,2007,1990,9.74
127,Chrompet,884,2010-09-22,75,1,1,3,Normal Sale,No,2006-09-23,Commercial,No Sewage,No Access,RM,283410,45346,11336400,2010,2006,11.34
128,Anna Nagar,1640,2010-05-14,113,1,1,4,Adj Land,No,2005-05-15,Commercial,ELO,No Access,RH,495645,194718,17701600,2010,2005,17.7
129,Adyar,622,2007-06-20,60,1,1,2,Normal Sale,No,1987-06-25,Others,ELO,No Access,RL,216906,72302,6572900,2007,1987,6.57
130,Anna Nagar,1880,2009-11-23,90,2,1,5,partial,Yes,1993-11-27,House,No Sewage,No Access,RM,483229,214768,13423020,2009,1993,13.42
131,KK Nagar,2413,2010-03-13,166,4,2,6,Abnormal,No,2001-03-15,Others,No Sewage,Paved,RM,419905,170587,13122040,2010,2001,13.12
132,T Nagar,1649,2009-02-28,169,1,1,4,Adj Land,No,1984-06-03,Commercial,All Pub,Gravel,RH,681808,113635,18939100,2009,1984,18.94
133,Velachery,1729,2008-08-02,144,2,1,4,partial,Yes,1967-02-18,Commercial,No Sewage,Paved,A,396911,128036,12803570,2008,1967,12.8
134,T Nagar,1942,2014-12-20,10,2,1,5,Family,No,1977-12-29,House,No Sewage,Gravel,RH,320599,61654,12330740,2014,1977,12.33
135,Chrompet,711,2014-12-05,116,1,1,2,Adj Land,Yes,2002-05-15,Others,No Sewage,No Access,RL,249558,64402,8050270,2014,2002,8.05
136,Chrompet,885,2013-09-19,122,1,1,3,Family,No,1981-09-27,House,ELO,No Access,RM,237422,107919,7194600,2013,1981,7.19
137,KK Nagar,1688,2009-10-30,148,2,1,4,Abnormal,Yes,1994-03-11,House,No Sewage,Gravel,RM,547810,285318,11412700,2009,1994,11.41
138,Adyar,1236,2007-10-17,108,2,2,4,Family,No,1970-10-26,Commercial,ELO,Gravel,A,481414,24071,12035355,2007,1970,12.04
139,Karapakkam,926,2011-06-29,98,1,1,3,Family,No,1991-04-07,House,ELO,Gravel,RL,288834,68770,6877000,2011,1991,6.88
140,KK Nagar,1686,2009-04-30,57,2,1,4,Abnormal,No,1985-06-05,Others,No Sewage,Paved,RM,382817,196582,10346400,2009,1985,10.35
141,Karapakkam,1344,2009-12-16,129,2,2,4,Adj Land,No,1959-12-29,Commercial,No Sewage,Gravel,RH,453999,259428,10809500,2009,1959,10.81
142,KK Nagar,1437,2012-02-04,104,2,1,4,Family,No,1989-08-04,Others,All Pub,Gravel,RM,489629,102006,10200600,2012,1989,10.2
143,Karapakkam,1430,2009-02-10,17,2,2,4,Abnormal,Yes,1999-05-10,Others,No Sewage,No Access,A,238887,106172,6635750,2009,1999,6.64
144,Adyar,1081,2008-10-26,85,1,1,3,Family,No,1978-03-11,House,All Pub,No Access,C,241416,6190,6190150,2008,1978,6.19
145,Karapakkam,1352,2010-09-02,1,2,2,4,Normal Sale,Yes,1983-02-16,House,ELO,Gravel,A,240768,123638,6507250,2010,1983,6.51
146,KK Nagar,1986,2009-05-19,109,3,2,5,Normal Sale,No,1979-05-27,House,All Pub,Gravel,RM,476717,227008,11350400,2009,1979,11.35
147,Anna Nagar,1758,2008-05-12,164,1,1,4,partial,Yes,1966-12-16,Commercial,All Pub,No Access,RL,713565,231426,19285540,2008,1966,19.29
148,Karapakkam,607,2010-08-09,121,1,1,2,Normal Sale,No,1964-09-19,Others,No Sewage,Gravel,RL,175699,117133,5856625,2010,1964,5.86
149,KK Nagar,2139,2008-10-24,136,3,2,5,Normal Sale,Yes,1987-10-30,Others,No Sewage,Paved,RL,424048,249440,12472000,2008,1987,12.47
150,KK Nagar,1488,2010-02-28,97,2,1,4,partial,No,1983-07-03,Others,All Pub,Paved,RH,405211,202606,8441900,2010,1983,8.44
151,Velachery,1645,2006-01-27,96,2,1,4,partial,No,1980-03-02,House,No Sewage,No Access,RH,250118,75793,7579320,2006,1980,7.58
152,Chrompet,950,2009-07-12,177,1,1,3,Normal Sale,Yes,1983-12-14,Others,No Sewage,Gravel,RL,273252,146385,9759000,2009,1983,9.76
153,Chrompet,928,2014-01-25,90,1,1,3,partial,Yes,2010-01-26,Commercial,All Pub,Gravel,RH,409985,62119,12423800,2014,2010,12.42
154,Velachery,1693,2008-12-17,145,2,1,4,Normal Sale,Yes,1955-12-31,Commercial,No Sewage,Paved,RM,604335,108470,15495760,2008,1955,15.5
155,Velachery,1873,2007-02-12,0,3,2,5,Family,Yes,1986-07-12,Others,ELO,No Access,RL,363735,198401,11022270,2007,1986,11.02
156,Adyar,721,2010-04-11,145,1,1,2,partial,No,2000-06-11,Others,No Sewage,Paved,RL,273800,60844,7605550,2010,2000,7.61
157,Karapakkam,1190,2011-03-11,37,1,1,3,Family,Yes,1982-10-11,House,No Sewage,Gravel,RH,342613,127484,7967750,2011,1982,7.97
158,KK Nagar,1593,2011-04-17,9,2,1,4,partial,No,1994-04-21,Others,All Pub,Paved,RH,402606,223670,8946800,2011,1994,8.95
159,Chrompet,786,2010-02-22,181,1,1,2,Abnormal,Yes,1998-02-25,Others,ELO,Gravel,RL,249610,83203,9244820,2010,1998,9.24
160,Chrompet,1195,2011-06-12,93,1,1,3,Adj Land,No,1992-10-12,Others,No Sewage,Paved,RL,265183,29465,9821600,2011,1992,9.82
161,Velachery,1824,2009-03-04,187,3,2,5,Normal Sale,No,1976-11-04,House,No Sewage,Paved,I,273570,76942,8549060,2009,1976,8.55
162,KK Nagar,1906,2008-03-26,81,3,2,5,Abnormal,Yes,2001-03-28,Commercial,No Sewage,Paved,RH,792637,206086,15852740,2008,2001,15.85
163,Adyar,656,2010-09-24,20,1,1,2,Abnormal,No,2001-09-26,Commercial,All Pub,Paved,I,280244,113849,8757635,2010,2001,8.76
164,Chrompet,727,2007-05-28,84,1,1,2,Abnormal,No,1991-01-06,Others,ELO,Gravel,RM,218816,100992,8415990,2007,1991,8.42
165,Adyar,931,2010-06-24,37,1,1,3,Family,Yes,1977-02-07,Others,ELO,Paved,RM,367617,19871,9935595,2010,1977,9.94
166,Velachery,1898,2007-12-01,108,3,2,5,Adj Land,Yes,1969-01-21,Commercial,ELO,No Access,RM,581625,332357,16617860,2007,1969,16.62
167,Anna Nagar,1698,2007-06-27,15,1,1,4,Family,No,1967-07-07,House,No Sewage,Gravel,RM,359949,198593,12412050,2007,1967,12.41
168,T Nagar,1926,2007-05-27,193,2,1,5,Adj Land,Yes,1990-05-31,Commercial,No Sewage,No Access,RM,633655,203675,22630540,2007,1990,22.63
169,Karapakkam,1481,2010-12-17,144,2,2,4,partial,Yes,1972-12-26,Commercial,All Pub,Paved,A,485174,178227,9901500,2010,1972,9.9
170,Anna Nagar,1506,2007-06-09,122,1,1,4,Family,No,1974-09-14,House,ELO,No Access,RM,417996,177648,10449910,2007,1974,10.45
171,Chrompet,1020,2014-01-11,95,1,1,3,Family,No,1990-07-11,House,No Sewage,No Access,RM,206664,31794,7948600,2014,1990,7.95
172,Chrompet,889,2008-10-21,196,1,1,3,Abnormal,No,1987-10-27,Others,ELO,Gravel,RM,300256,136480,9098680,2008,1987,9.1
173,Chrompet,1015,2012-11-01,147,1,1,3,Family,Yes,1977-01-19,House,All Pub,Paved,RH,275314,66743,8342850,2012,1977,8.34
174,T Nagar,1682,2011-04-03,78,1,1,4,Abnormal,No,1976-12-03,Commercial,All Pub,Gravel,RH,690507,111974,18662350,2011,1976,18.66
175,Chrompet,869,2013-01-05,39,1,1,3,Family,No,1995-06-05,Others,No Sewage,No Access,RM,220661,138935,8172630,2013,1995,8.17
176,Karapakkam,1445,2012-03-29,20,2,2,4,Family,No,1988-04-04,House,No Sewage,No Access,I,216691,87848,5856500,2012,1988,5.86
177,Anna Nagar,1919,2014-06-25,178,2,1,5,partial,Yes,2001-06-28,House,No Sewage,Gravel,RM,544054,117633,14704160,2014,2001,14.7
